Universidad;Título;Tipo de universidad;Nota de corte 2019/2020;Nota media de admisión 2019/2020;Ofertas de plazas curso 2019/2020;Créditos necesarios;Precio del crédito 2019/2020
Universidad Pablo de Olavide;Grado en Geografía e Historia;Pública / Propio;5;8.23;48;240;12,62 €
Universidad Pablo de Olavide;Grado en Humanidades;Pública / Propio;5;8.53;30;240;12,62 €
Universidad Pompeu Fabra;Grado en Humanidades;Pública / Propio;5;9.21;170;240;25,27 €
Universidad Complutense de Madrid;Grado en Psicología;Pública / Adscrito;5;6.92;200;240;
Universidad de Vic- Universidad Central de Catalunya;Grado en Psicología;Privada / Propio;5;-;120;240;
Universidad de Almería;Grado en Economía;Pública / Propio;5;8.8;75;240;12,62 €
Universidad de Las Palmas de Gran Canaria;Grado en Economía;Pública / Propio;5;8.07;125;240;10,16 €
Universidad de León;Grado en Economía;Pública / Propio;5;7.62;50;240;14,05 €
Universidad de Salamanca;Grado en Economía;Pública / Propio;5;9.99;80;240;14,05 €
Universidad de Santiago de Compostela;Grado en Economía;Pública / Propio;5;7.98;150;240;9,85 €
Universidad de Valladolid;Grado en Economía;Pública / Propio;5;7.49;60;240;14,05 €
Universidad de Zaragoza;Grado en Economía;Pública / Propio;5;8.2;200;240;16,20 €
Universidad Pablo de Olavide;Grado en Análisis Económico;Pública / Propio;5;7.69;60;240;12,62 €
Universidad Rey Juan Carlos;Grado en Economía;Pública / Propio;-;7.4;-;240;21,39 €
Universidad Rovira i Virgili;Grado en Economía;Pública / Propio;5;7.56;50;240;25,27 €
Universitat de les Illes Balears;Grado en Economía;Pública / Propio;5;7.4;90;240;13,53 €
Universidad de Barcelona;Grado en Antropología Social y Cultural;Pública / Propio;5;7.71;120;240;25,27 €
Universidad de Barcelona;Grado en Estudios Árabes y Hebreos;Pública / Propio;5;-;40;240;25,27 €
Universidad de Barcelona;Grado en Geografía;Pública / Propio;5;7.81;60;240;25,27 €
Universidad de Burgos;Grado en Ciencia Política y Gestión Pública;Pública / Propio;5;6.81;105;240;14,05 €
Universidad de Córdoba;Grado en Gestión Cultural;Pública / Propio;5;8.12;55;240;12,62 €
Universidad de Girona;Grado en Ciencias Políticas y de la Administración;Pública / Propio;5;6.83;65;240;25,27 €
Universidad de Granada;Grado en Ciencias Políticas y de la Administración;Pública / Propio;5;7.64;145;240;12,62 €
Universidad de Granada;Grado en Sociología;Pública / Propio;5;7.5;160;240;12,62 €
Universidad de Huelva;Grado en Gestión Cultural;Pública / Propio;5;7.21;50;240;12,62 €
Universidad de La Rioja;Grado en Geografía e Historia;Pública / Propio;5;8.25;25;240;14,60 €
Universidad de Lleida;Grado en Geografía;Pública / Propio;5;n/d;30;240;25,27 €
Universidad de Murcia;Grado en Ciencias Políticas, Gobierno y Administración Pública;Pública / Propio;5;8.15;70;240;14,38 €
Universidad de Salamanca;Grado en Geografía;Pública / Propio;5;n/d;25;240;12,94 €
Universidad de Salamanca;Grado en Sociología;Pública / Propio;5;7.97;60;240;14,05 €
Universidad de Santiago de Compostela;Grado en Ciencia Política y de la Administración;Pública / Propio;5;8.08;125;240;9,85 €
Universidad de Sevilla;Grado en Antropología Social y Cultural;Pública / Propio;5;7.68;65;240;12,62 €
Universidad de Sevilla;Grado en Geografía y Gestión del Territorio;Pública / Propio;5;7.5;60;240;12,62 €
Universidad de Vic- Universidad Central de Catalunya;Grado en Criminología;Privada / Adscrito;5;-;40;240;
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Antropología Social;Pública / Propio;5;9.46;55;240;14,08 €
Universidad Rovira i Virgili;Grado en Antropología y Evolución Humana;Pública / Propio;5;6.71;120;240;25,27 €
Universidad de Barcelona;Grado en Gestión de Información y Documentación Digital;Pública / Propio;5;-;60;240;35,77 €
Universidad de Girona;Grado en Comunicación Cultural;Pública / Propio;5;7.86;50;240;25,27 €
Universidad de Granada;Grado en Información y Documentación;Pública / Propio;5;7.3;100;240;12,62 €
Universidad de León;Grado en Información y Documentación;Pública / Propio;5;6.66;50;240;14,05 €
Universidad de Salamanca;Grado en Información y Documentación;Pública / Propio;5;n/d;42;240;14,05 €
Universidad de Sevilla;Grado en Periodismo;Pública / Adscrito;5;7.59;120;240;
Universidad de Vic- Universidad Central de Catalunya;Grado en Periodismo;Privada / Propio;5;-;55;240;
Universidad de Zaragoza;Grado en Información y Documentación;Pública / Propio;5;7.89;36;240;16,20 €
Universidad Pablo de Olavide;Grado en Comunicación;Pública / Adscrito;5;7.11;74;240;
Universidad Complutense de Madrid;Grado en Administración y Dirección de Empresas;Pública / Adscrito;5;6.95;20;240;
Universidad Complutense de Madrid;Grado en Administración y Dirección de Empresas;Pública / Adscrito;5;8.42;50;240;
Universidad de A Coruña;Grado en Ciencias Empresariales;Pública / Propio;5;7.19;90;240;9,85 €
Universidad de A Coruña;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;7.43;48;240;9,85 €
Universidad de A Coruña;Grado en Relaciones Laborales y Recursos Humanos;Pública / Adscrito;5;6.84;70;240;
Universidad de Alicante;Grado en Relaciones Laborales y Recursos Humanos;Pública / Adscrito;5;n/d;50;240;
Universidad de Almería;Grado en Administración y Dirección de Empresas;Pública / Propio;5;8.85;185;240;12,62 €
Universidad de Almería;Grado en Gestión y Administración Pública;Pública / Propio;5;7.62;55;240;12,62 €
Universidad de Almería;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;6.98;75;240;12,62 €
Universidad de Burgos;Grado en Administración y Dirección de Empresas;Pública / Propio;5;7.85;120;240;14,05 €
Universidad de Cádiz;Grado en Administración y Dirección de Empresas;Pública / Propio;5;8.6;185;240;12,62 €
Universidad de Cádiz;Grado en Administración y Dirección de Empresas;Pública / Propio;5;8.38;150;240;12,62 €
Universidad de Cádiz;Grado en Administración y Dirección de Empresas;Pública / Propio;5;8.29;135;240;12,62 €
Universidad de Cádiz;Grado en Gestión y Administración Pública;Pública / Propio;5;7.7;70;240;12,62 €
Universidad de Cádiz;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;7.13;50;240;12,62 €
Universidad de Cádiz;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;7.23;140;240;12,62 €
Universidad de Castilla- La Mancha;Grado en Administración y Dirección de Empresas;Pública / Propio;5;8.18;120;240;12,13 €
Universidad de Córdoba;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;6.96;120;240;12,62 €
Universidad de Granada;Grado en Administración y Dirección de Empresas;Pública / Propio;5;7.47;70;240;12,62 €
Universidad de Granada;Grado en Administración y Dirección de Empresas;Pública / Propio;5;8.27;70;240;12,62 €
Universidad de Granada;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;n/d;40;240;12,62 €
Universidad de Granada;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;7.14;350;240;12,62 €
Universidad de Huelva;Grado en Administración y Dirección de Empresas;Pública / Propio;5;7.36;100;240;12,62 €
Universidad de Huelva;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;7.12;135;240;12,62 €
Universidad de Jaén;Grado en Administración y Dirección de Empresas;Pública / Propio;5;8.05;210;240;12,62 €
Universidad de Jaén;Grado en Estadística y Empresa;Pública / Propio;5;8.39;50;240;12,62 €
Universidad de Jaén;Grado en Gestión y Administración Pública;Pública / Propio;5;n/d;50;240;12,62 €
Universidad de Jaén;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;7.2;75;240;12,62 €
Universidad de La Rioja;Grado en Administración y Dirección de Empresas;Pública / Propio;5;7.49;150;240;14,60 €
Universidad de La Rioja;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;7.43;25;240;14,60 €
Universidad de Las Palmas de Gran Canaria;Grado en Administración y Dirección de Empresas;Pública / Propio;5;7.76;400;240;10,16 €
Universidad de Las Palmas de Gran Canaria;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;6.26;125;240;10,16 €
Universidad de Las Palmas de Gran Canaria;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;7.17;125;240;10,16 €
Universidad de León;Grado en Administración y Dirección de Empresas;Pública / Propio;5;8.28;85;240;14,05 €
Universidad de León;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;6.9;100;240;14,05 €
Universidad de Lleida;Grado en Administración y Dirección de Empresas;Pública / Propio;5;7.79;150;240;25,27 €
Universidad de Lleida;Grado en Relaciones Laborales y Recursos Humanos;Pública / Adscrito;5;-;50;240;
Universidad de Málaga;Grado en Gestión y Administración Pública;Pública / Propio;5;7.52;75;240;12,62 €
Universidad de Málaga;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;7.38;250;240;12,62 €
Universidad de Murcia;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;7.36;250;240;14,38 €
Universidad de Oviedo;Grado en Administración y Dirección de Empresas;Pública / Propio;5;7.17;275;240;12,30 €
Universidad de Salamanca;Grado en Administración y Dirección de Empresas;Pública / Propio;5;8.37;150;240;14,05 €
Universidad de Salamanca;Grado en Gestión de Pequeñas y Medianas Empresas;Pública / Propio;5;7.04;275;240;14,05 €
Universidad de Salamanca;Grado en Relaciones Laborales y Recursos Humanos;Pública / Adscrito;5;n/d;50;240;
Universidad de Salamanca;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;7.09;90;240;14,05 €
Universidad de Santiago de Compostela;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;7.9;90;240;9,85 €
Universidad de Sevilla;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;7.64;225;240;12,62 €
Universidad de Sevilla;Grado en Relaciones Laborales y Recursos Humanos;Pública / Adscrito;5;n/d;50;240;
Universidad de Valladolid;Grado en Administración y Dirección de Empresas;Pública / Propio;5;8.39;175;240;14,05 €
Universidad de Valladolid;Grado en Administración y Dirección de Empresas;Pública / Propio;5;8.06;60;240;14,05 €
Universidad de Valladolid;Grado en Administración y Dirección de Empresas;Pública / Propio;5;8.58;30;240;14,05 €
Universidad de Valladolid;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;6.92;80;240;14,05 €
Universidad de Valladolid;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;n/d;35;240;14,05 €
Universidad de Valladolid;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;n/d;10;240;14,05 €
Universidad de Vic- Universidad Central de Catalunya;Grado en Administración y Dirección de Empresas;Privada / Propio;5;-;40;240;
Universidad de Vic- Universidad Central de Catalunya;Grado en Administración y Dirección de Empresas;Privada / Propio;5;-;50;240;
Universidad de Vigo;Grado en Administración y Dirección de Empresas;Pública / Propio;5;7.61;200;240;9,85 €
Universidad de Vigo;Grado en Administración y Dirección de Empresas;Pública / Propio;5;7.59;88;240;9,85 €
Universidad de Vigo;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;6.93;80;240;9,85 €
Universidad de Zaragoza;Grado en Administración y Dirección de Empresas;Pública / Propio;5;9.14;400;240;16,20 €
Universidad de Zaragoza;Grado en Administración y Dirección de Empresas;Pública / Propio;5;7.83;45;240;16,20 €
Universidad de Zaragoza;Grado en Administración y Dirección de Empresas;Pública / Propio;5;6.98;65;240;16,20 €
Universidad de Zaragoza;Grado en Gestión y Administración Pública;Pública / Propio;5;n/d;40;240;13,70 €
Universidad de Zaragoza;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;7.5;180;240;13,70 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Administración y Dirección de Empresas;Pública / Propio;5;7.82;110;240;14,39 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Fiscalidad y Administración Pública;Pública / Propio;5;7.55;60;240;14,39 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Gestión de Negocios;Pública / Propio;5;7.03;220;240;14,39 €
Universidad Pablo de Olavide;Grado en Administración y Dirección de Empresas;Pública / Adscrito;5;7.41;80;240;
Universidad Pablo de Olavide;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;5;7.29;100;240;12,62 €
Universidad Politécnica de Catalunya;Grado en Administración y Dirección de Empresas;Pública / Adscrito;5;6.88;80;240;
Universidad Politécnica de Catalunya;Grado en Administración y Dirección de Empresas;Pública / Adscrito;5;6.76;130;240;
Universidad Pompeu Fabra;Grado en Administración de Empresas y Gestión de la Innovación;Pública / Adscrito;5;7.58;100;240;
Universidad Rey Juan Carlos;Grado en Administración y Dirección de Empresas;Pública / Propio;-;7.05;-;240;21,39 €
Universidad Rey Juan Carlos;Grado en Administración y Dirección de Empresas;Pública / Adscrito;5;6.39;90;240;
Universidad Rey Juan Carlos;Grado en Ciencia, Gestión e Ingeniería de Servicios;Pública / Propio;5;7.56;65;240;24,55 €
Universidad Rey Juan Carlos;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;-;7.46;-;240;21,39 €
Universidad Rovira i Virgili;Grado en Administración y Dirección de Empresas;Pública / Propio;5;7.4;190;240;25,27 €
Universidad Rovira i Virgili;Grado en Administración y Dirección de Empresas;Pública / Adscrito;5;n/d;80;240;
Universidad Rovira i Virgili;Grado en Relaciones Laborales y Empleo;Pública / Propio;5;6.46;65;240;25,27 €
Universitat de les Illes Balears;Grado en Administración de Empresas;Pública / Propio;5;7.2;340;240;13,53 €
Universidad de Almería;Grado en Finanzas y Contabilidad;Pública / Propio;5;7.8;150;240;12,62 €
Universidad de Almería;Grado en Marketing e Investigación de Mercados;Pública / Propio;5;8.63;75;240;12,62 €
Universidad de Barcelona;Grado en Gestión de Empresas en Comercio y Distribución;Pública / Adscrito;5;6.77;60;240;
Universidad de Burgos;Grado en Finanzas y Contabilidad;Pública / Propio;5;7.23;65;240;14,05 €
Universidad de Cádiz;Grado en Finanzas y Contabilidad;Pública / Propio;5;8.15;90;240;12,62 €
Universidad de Cádiz;Grado en Marketing e Investigación de Mercados;Pública / Propio;5;7.82;130;240;12,62 €
Universidad de Girona;Grado en Contabilidad y Finanzas;Pública / Propio;5;7.28;140;240;25,27 €
Universidad de Huelva;Grado en Finanzas y Contabilidad;Pública / Propio;5;8.06;65;240;12,62 €
Universidad de Jaén;Grado en Finanzas y Contabilidad;Pública / Propio;5;8.43;40;240;12,62 €
Universidad de León;Grado en Finanzas;Pública / Propio;5;7.38;50;240;14,05 €
Universidad de Sevilla;Grado en Finanzas y Contabilidad;Pública / Adscrito;5;n/d;50;240;
Universidad de Sevilla;Grado en Finanzas y Contabilidad;Pública / Propio;5;7.51;430;240;12,62 €
Universidad de Sevilla;Grado en Publicidad y Relaciones Públicas;Pública / Adscrito;5;7.56;120;240;
Universidad de Valladolid;Grado en Comercio;Pública / Propio;5;7.4;180;240;14,05 €
Universidad de Valladolid;Grado en Finanzas, Banca y Seguros;Pública / Propio;5;7.83;60;240;14,05 €
Universidad de Valladolid;Grado en Publicidad y Relaciones Públicas;Pública / Propio;5;6.84;180;240;12,94 €
Universidad de Vic- Universidad Central de Catalunya;Grado en Marketing y Comunicación Empresarial;Privada / Propio;5;-;50;240;
Universidad de Vic- Universidad Central de Catalunya;Grado en Publicidad y Relaciones Públicas;Privada / Propio;5;-;55;240;
Universidad de Vigo;Grado en Comercio;Pública / Propio;5;7.26;90;240;9,85 €
Universidad de Zaragoza;Grado en Finanzas y Contabilidad;Pública / Propio;5;7.77;150;240;16,20 €
Universidad Pablo de Olavide;Grado en Finanzas y Contabilidad;Pública / Propio;5;7.64;120;240;12,62 €
Universidad Politécnica de Catalunya;Grado en Marketing y Comunicación Digital;Pública / Adscrito;5;7.09;100;240;
Universidad Politécnica de Catalunya;Grado en Marketing y Comunicación Digital;Pública / Adscrito;5;7.06;40;240;
Universidad Rovira i Virgili;Grado en Finanzas y Contabilidad;Pública / Propio;5;7.2;120;240;25,27 €
Universidad Rovira i Virgili;Grado en Marketing;Pública / Adscrito;5;7.46;100;240;
Universidad Complutense de Madrid;Grado en Derecho;Pública / Adscrito;5;7.47;20;240;
Universidad Complutense de Madrid;Grado en Derecho;Pública / Adscrito;5;7.2;70;240;
Universidad Complutense de Madrid;Grado en Derecho;Pública / Adscrito;5;7.79;65;240;
Universidad de Almería;Grado en Derecho;Pública / Propio;5;8.73;165;240;12,62 €
Universidad de Burgos;Grado en Derecho;Pública / Propio;5;6.72;60;240;12,94 €
Universidad de Cádiz;Grado en Derecho;Pública / Propio;5;7.7;80;240;12,62 €
Universidad de Cádiz;Grado en Derecho;Pública / Propio;5;8.65;215;240;12,62 €
Universidad de Córdoba;Grado en Derecho;Pública / Propio;5;8.59;180;240;12,62 €
Universidad de Huelva;Grado en Derecho;Pública / Propio;5;7.83;143;240;12,62 €
Universidad de Jaén;Grado en Derecho;Pública / Propio;5;8.22;150;240;12,62 €
Universidad de Las Palmas de Gran Canaria;Grado en Derecho;Pública / Propio;5;7.35;460;240;10,16 €
Universidad de León;Grado en Derecho;Pública / Propio;5;7.93;135;240;12,94 €
Universidad de Lleida;Grado en Derecho;Pública / Propio;5;8.23;115;240;25,27 €
Universidad de Salamanca;Grado en Derecho;Pública / Propio;5;8.88;205;240;12,94 €
Universidad de Sevilla;Grado en Derecho;Pública / Adscrito;5;7.08;100;240;
Universidad de Valladolid;Grado en Derecho;Pública / Propio;5;7.08;60;240;12,94 €
Universidad de Vic- Universidad Central de Catalunya;Grado en Derecho;Privada / Adscrito;5;-;60;240;
Universidad Pablo de Olavide;Grado en Derecho;Pública / Propio;5;9.28;100;240;12,62 €
Universidad Pablo de Olavide;Grado en Derecho;Pública / Adscrito;5;7.03;80;240;
Universidad Rey Juan Carlos;Grado en Derecho;Pública / Adscrito;-;-;-;240;
Universidad Rey Juan Carlos;Grado en Derecho;Pública / Adscrito;5;7.24;67;240;
Universidad Rey Juan Carlos;Grado en Derecho;Pública / Propio;-;8.04;-;240;21,39 €
Universitat de les Illes Balears;Grado en Derecho;Pública / Propio;5;7.95;260;240;11,59 €
Universidad de Cádiz;Grado en Ciencias Ambientales;Pública / Propio;5;7.31;50;240;12,62 €
Universidad de Castilla- La Mancha;Grado en Ciencias Ambientales;Pública / Propio;5;7.23;50;240;18,87 €
Universidad de Córdoba;Grado en Ciencias Ambientales;Pública / Propio;5;7.02;80;240;12,62 €
Universidad de Granada;Grado en Ciencias Ambientales;Pública / Propio;5;7.98;150;240;12,62 €
Universidad de Huelva;Grado en Ciencias Ambientales;Pública / Propio;5;n/d;40;240;12,62 €
Universidad de Jaén;Grado en Ciencias Ambientales;Pública / Propio;5;7.61;50;240;12,62 €
Universidad de León;Grado en Ciencias Ambientales;Pública / Propio;5;7.28;50;240;18,32 €
Universidad de Málaga;Grado en Ciencias Ambientales;Pública / Propio;5;7.41;110;240;12,62 €
Universidad de Salamanca;Grado en Ciencias Ambientales;Pública / Propio;5;7.01;100;240;18,32 €
Universidad de Vic- Universidad Central de Catalunya;Grado en Biología;Privada / Propio;5;-;50;240;
Universidad de Vic- Universidad Central de Catalunya;Grado en Biotecnología;Privada / Propio;5;-;55;240;
Universidad de Zaragoza;Grado en Ciencias Ambientales;Pública / Propio;5;8.24;60;240;21,66 €
Universidad Pablo de Olavide;Grado en Ciencias Ambientales;Pública / Propio;5;7.92;100;240;12,62 €
Universidad Autónoma de Barcelona;Grado en Geología;Pública / Propio;5;7.71;50;240;35,77 €
Universidad Complutense de Madrid;Grado en Geografía y Ordenación del Territorio;Pública / Propio;5;7.73;60;240;21,39 €
Universidad Complutense de Madrid;Grado en Ingeniería Geológica;Pública / Propio;5;7.05;50;240;24,55 €
Universidad de Barcelona;Grado en Geología;Pública / Propio;5;8.08;60;240;35,77 €
Universidad de Burgos;Grado en Química;Pública / Propio;5;8.02;45;240;18,32 €
Universidad de Cádiz;Grado en Ciencias del Mar;Pública / Propio;5;8.02;55;240;12,62 €
Universidad de Córdoba;Grado en Química;Pública / Propio;5;8.61;80;240;12,62 €
Universidad de Girona;Grado en Geografía, Ordenación del Territorio y Gestión del Medio Ambiente;Pública / Propio;5;7.57;40;240;25,27 €
Universidad de Granada;Grado en Geografía y Gestión del Territorio;Pública / Propio;5;8.13;60;240;12,62 €
Universidad de Granada;Grado en Geología;Pública / Propio;5;7.96;75;240;12,62 €
Universidad de Huelva;Grado en Geología;Pública / Propio;5;n/d;40;240;12,62 €
Universidad de Huelva;Grado en Química;Pública / Propio;5;8.22;65;240;12,62 €
Universidad de Jaén;Grado en Química;Pública / Propio;5;7.85;75;240;12,62 €
Universidad de Las Palmas de Gran Canaria;Grado en Ciencias del Mar;Pública / Propio;5;8.09;100;240;14,59 €
Universidad de Las Palmas de Gran Canaria;Grado en Geografía y Ordenación del Territorio;Pública / Propio;5;7.22;100;240;10,16 €
Universidad de León;Grado en Geografía y Ordenación del Territorio;Pública / Propio;5;n/d;25;240;12,94 €
Universidad de Málaga;Grado en Geografía y Gestión del Territorio;Pública / Propio;5;7.74;65;240;12,62 €
Universidad de Salamanca;Grado en Geología;Pública / Propio;5;7.48;45;240;18,32 €
Universidad de Salamanca;Grado en Ingeniería Geológica;Pública / Propio;5;n/d;45;240;19,37 €
Universidad de Salamanca;Grado en Química;Pública / Propio;5;8.72;100;240;18,32 €
Universidad de Valladolid;Grado en Geografía y Ordenación del Territorio;Pública / Propio;5;8.64;25;240;12,94 €
Universidad de Valladolid;Grado en Química;Pública / Propio;5;9.22;80;240;18,32 €
Universidad de Zaragoza;Grado en Geografía y Ordenación del Territorio;Pública / Propio;5;8.3;50;240;16,20 €
Universidad de Zaragoza;Grado en Geología;Pública / Propio;5;8.13;67;240;23,39 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Geografía y Ordenación del Territorio;Pública / Propio;5;7.91;60;240;14,39 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Geología;Pública / Propio;5;8.68;50;240;19,84 €
Universidad Rovira i Virgili;Grado en Geografía, Análisis Territorial y Sostenibilidad;Pública / Propio;5;7.24;40;240;25,27 €
Universidad Rovira i Virgili;Grado en Química;Pública / Propio;5;9.56;90;240;35,77 €
Universidad Autónoma de Barcelona;Grado en Informática y Servicios;Pública / Adscrito;5;n/d;50;240;
Universidad de Almería;Grado en Ingeniería Informática;Pública / Propio;5;8.35;150;240;12,62 €
Universidad de Burgos;Grado en Ingeniería Informática;Pública / Propio;5;7.22;175;240;21,01 €
Universidad de Granada;Grado en Ingeniería Informática;Pública / Propio;5;7.17;50;240;12,62 €
Universidad de Huelva;Grado en Ingeniería Informática;Pública / Propio;5;7.21;150;240;12,62 €
Universidad de Jaén;Grado en Ingeniería Informática;Pública / Propio;5;8.39;150;240;12,62 €
Universidad de Las Palmas de Gran Canaria;Grado en Ingeniería Informática;Pública / Propio;5;8.27;200;240;14,59 €
Universidad de León;Grado en Ingeniería Informática;Pública / Propio;5;8.4;100;240;21,01 €
Universidad de Lleida;Grado en Técnicas de Interacción Digital y de Computación;Pública / Propio;5;6.96;40;180;35,77 €
Universidad de Salamanca;Grado en Ingeniería Informática;Pública / Propio;5;8.78;140;240;21,01 €
Universidad de Salamanca;Grado en Ingeniería Informática en Sistemas de Información;Pública / Propio;5;7.39;42;240;19,37 €
Universidad de Valladolid;Grado en Ingeniería Informática;Pública / Propio;5;8.94;115;240;21,01 €
Universidad de Valladolid;Grado en Ingeniería Informática de Servicios y Aplicaciones;Pública / Propio;5;7.06;30;240;21,01 €
Universidad de Vic- Universidad Central de Catalunya;Grado en Multimedia. Aplicaciones y Videojuegos;Privada / Propio;5;-;40;240;
Universidad de Zaragoza;Grado en Ingeniería Informática;Pública / Propio;5;8.62;33;240;21,66 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Ingeniería Informática;Pública / Propio;5;9.52;145;240;19,19 €
Universidad Politécnica de Catalunya;Grado en Diseño y Desarrollo de Videojuegos;Pública / Adscrito;5;9.66;70;240;
Universidad Politécnica de Catalunya;Grado en Ingeniería de Sistemas TIC;Pública / Propio;5;8.62;40;240;39,53 €
Universidad Pompeu Fabra;Grado en Ingeniería Informática de Gestión y Sistemas de Información;Pública / Adscrito;5;7.77;50;240;
Universidad Rovira i Virgili;Grado en Técnicas de Desarrollo de Aplicaciones Web y Móviles;Pública / Propio;5;7.53;35;180;39,53 €
Universidad Autónoma de Barcelona;Grado en Ingeniería Electrónica Industrial y Automática;Pública / Adscrito;5;7.37;40;240;
Universidad Autónoma de Barcelona;Grado en Ingeniería en Energías Renovables y Eficiencia Energética;Pública / Adscrito;5;-;40;240;
Universidad Autónoma de Barcelona;Grado en Ingeniería en Organización Industrial;Pública / Adscrito;5;8.08;60;240;
Universidad Autónoma de Barcelona;Grado en Ingeniería Mecánica;Pública / Adscrito;5;7.72;50;240;
Universidad de Almería;Grado en Ingeniería Eléctrica;Pública / Propio;5;7.44;75;240;12,62 €
Universidad de Almería;Grado en Ingeniería Electrónica Industrial;Pública / Propio;5;9.3;75;240;12,62 €
Universidad de Almería;Grado en Ingeniería Mecánica;Pública / Propio;5;9.35;75;240;12,62 €
Universidad de Almería;Grado en Ingeniería Química Industrial;Pública / Propio;5;8.42;75;240;12,62 €
Universidad de Barcelona;Grado en Ciencia y Tecnología de los Alimentos;Pública / Propio;5;8.84;80;240;35,77 €
Universidad de Barcelona;Grado en Ingeniería de Materiales;Pública / Propio;5;7.96;40;240;39,53 €
Universidad de Burgos;Grado en Ciencia y Tecnología de los Alimentos;Pública / Propio;5;7.02;75;240;19,37 €
Universidad de Burgos;Grado en Ingeniería de Organización Industrial;Pública / Propio;5;7.67;40;240;21,01 €
Universidad de Burgos;Grado en Ingeniería Electrónica Industrial y Automática;Pública / Propio;5;7.88;45;240;21,01 €
Universidad de Burgos;Grado en Ingeniería Mecánica;Pública / Propio;5;7.92;100;240;21,01 €
Universidad de Cádiz;Grado en Arquitectura Naval e Ingeniería Marítima;Pública / Propio;5;8.32;80;240;12,62 €
Universidad de Cádiz;Grado en Enología;Pública / Propio;5;7.09;55;240;12,62 €
Universidad de Cádiz;Grado en Ingeniería Eléctrica;Pública / Propio;5;7.23;45;240;12,62 €
Universidad de Cádiz;Grado en Ingeniería Eléctrica;Pública / Propio;5;n/d;50;240;12,62 €
Universidad de Cádiz;Grado en Ingeniería Electrónica Industrial;Pública / Propio;5;7.87;45;240;12,62 €
Universidad de Cádiz;Grado en Ingeniería Electrónica Industrial;Pública / Propio;5;8.7;50;240;12,62 €
Universidad de Cádiz;Grado en Ingeniería en Tecnologías Industriales;Pública / Propio;5;9.32;55;240;12,62 €
Universidad de Cádiz;Grado en Ingeniería en Tecnologías Industriales;Pública / Propio;5;9.42;50;240;12,62 €
Universidad de Cádiz;Grado en Ingeniería Mecánica;Pública / Propio;5;8.16;50;240;12,62 €
Universidad de Cádiz;Grado en Ingeniería Química;Pública / Propio;5;7.82;45;240;12,62 €
Universidad de Cádiz;Grado en Ingeniería Radioelectrónica;Pública / Propio;5;7.08;50;240;12,62 €
Universidad de Cádiz;Grado en Marina;Pública / Propio;5;7.14;50;240;12,62 €
Universidad de Cantabria;Grado en Ingeniería de los Recursos Mineros;Pública / Propio;5;n/d;40;240;15,02 €
Universidad de Castilla- La Mancha;Grado en Enología;Pública / Propio;5;-;40;240;18,87 €
Universidad de Castilla- La Mancha;Grado en Ingeniería Eléctrica;Pública / Propio;5;8.83;30;240;18,87 €
Universidad de Castilla- La Mancha;Grado en Ingeniería Electrónica Industrial y Automática;Pública / Propio;5;8.63;77;240;18,87 €
Universidad de Castilla- La Mancha;Grado en Ingeniería Mecánica;Pública / Propio;5;8.58;55;240;18,87 €
Universidad de Castilla- La Mancha;Grado en Ingeniería Minera y Energética;Pública / Propio;5;6.25;20;240;18,87 €
Universidad de Córdoba;Grado en Enología;Pública / Propio;5;n/d;10;240;12,62 €
